drone_id,timestamp,x,y,z,velocity,battery_level,signal_strength,collision_warning,formation_pattern,mission_status
0,0,2.4835707650561636,-0.6913215058559232,3.2384426905034625,2.340279606636548,99.22002739831899,52.90418060840997,0,random,return
1,0,7.615149282040127,-2.904390670117575,-2.625849035890739,2.7510676478015075,98.47878878520231,76.2378215816119,0,line,delivery
2,0,-5.064155601672119,1.5712366629763694,-4.540120377606055,6.841049763255539,96.07412019303493,59.98368910791799,0,random,exploration
3,0,-7.061518506676458,0.6110958261133979,-2.5771783104622665,2.557861855309373,99.6747420350736,97.44427686266667,0,circle,surveillance
4,0,-3.0031934495940247,-1.458468748966384,-3.0085330611469847,1.8305735226716824,97.52411544944366,51.71942605576092,0,random,surveillance
5,0,9.261390922544688,-6.325595569613211,5.459961321788356,7.801020317667162,97.2664486032836,59.24272277627635,0,circle,return
6,0,3.6923328999770524,0.8568414059498525,-0.5782414119412026,5.8301593453422305,98.64325484113053,91.43687545759647,0,random,return
7,0,-1.505518477946444,-5.652761523407834,0.6721444131401095,12.032954711310595,99.62724678160114,99.34434683002587,0,random,return
8,0,5.154997612479755,4.656400595580993,-4.196087616113193,12.946551388133903,96.88350936586221,66.54490124263246,0,grid,surveillance
9,0,-1.546061879256073,5.898581723503504,-4.491039697278391,9.563362070328196,95.56393628711837,73.61074625809746,0,circle,delivery
10,0,1.8069780275420697,7.690182832329846,-0.17913019554975768,7.840992440729911,97.86229490820725,51.27095633720476,0,grid,return
11,0,7.823218279070031,-7.093752292957014,5.212458086697104,7.628560367470541,95.46216763036954,62.464611457443745,0,grid,exploration
12,0,-4.042468014465938,-2.5087852179226826,4.577010588510371,12.055081153486716,99.06714970556982,94.62794992449889,0,circle,delivery
13,0,1.6437555482984223,-1.5464427322228882,3.3656275138698755,1.6507788679151514,98.86032418729029,71.35538943131282,0,line,delivery
14,0,0.025567283212304448,-1.1729356668757345,-7.076853710252071,1.797980510005242,98.31192414298187,97.14548519562595,0,random,return
15,0,-2.103226613826795,-4.715284042336312,7.019793693296467,14.57673124081441,95.18776352528944,62.58911479126821,0,line,exploration
16,0,0.3011510497051322,12.31621056242643,-0.9618048239056126,2.1734230813683464,97.55273619861218,99.28252270553003,0,random,delivery
17,0,1.5077367116680622,-3.8766805297847204,3.8657042794462444,10.923245229177894,98.16108433640373,81.61529152967897,0,grid,delivery
18,0,-4.952681625653442,-2.8314886480138597,0.4982568254382061,10.163465427634236,99.91706085536072,75.60465291496405,0,random,delivery
